,Problem,,,Constructive algorithm,,Localsearch,,GRASP,,Known best solution
Name,|V| or n,|E| or m,Simple Randomized,Simple Greedy,Semi-greedy,No. of iterations,Average value,No.of iterations,Best value
G1,800,19176,9595,10956,11123,50,11360,50,11472,12078
G2,800,19176,9587,11030,10952,50,11351,50,11434,12084
G3,800,19176,9609,11012,11020,50,11333,50,11409,12077
G4,800,19176,9572,11031,11056,50,11358,50,11458,N/A
G5,800,19176,9582,10990,11040,50,11354,50,11439,N/A
G6,800,19176,64,1515,1579,50,1892,50,2035,N/A
G7,800,19176,-84,1362,1385,50,1732,50,1815,N/A
G8,800,19176,-76,1331,1412,50,1731,50,1852,N/A
G9,800,19176,-38,1507,1361,50,1780,50,1878,N/A
G10,800,19176,-69,1350,1369,50,1721,50,1797,N/A
G11,800,1600,14,434,406,50,443,50,464,627
G12,800,1600,-2,418,384,50,428,50,448,621
G13,800,1600,15,432,410,50,454,50,482,645
G14,800,4694,2354,2890,2900,50,2944,50,2972,3187
G15,800,4661,2333,2873,2884,50,2928,50,2951,3169
G16,800,4672,2334,2878,2852,50,2934,50,2952,3172
G17,800,4667,2336,2864,2874,50,2929,50,2953,N/A
G18,800,4694,28,780,733,50,835,50,872,N/A
G19,800,4661,-53,681,638,50,740,50,786,N/A
G20,800,4672,-23,698,667,50,775,50,831,N/A
G21,800,4667,-32,704,664,50,773,50,831,N/A
G22,2000,19990,9983,12346,12264,50,12819,50,12898,14123
G23,2000,19990,10011,12291,12414,50,12808,50,12890,14129
G24,2000,19990,10016,12367,12358,50,12801,50,12870,14131
G25,2000,19990,10012,12408,12392,50,12807,50,12880,N/A
G26,2000,19990,10001,12355,12353,50,12799,50,12916,N/A
G27,2000,19990,-12,2316,2308,50,2791,50,2871,N/A
G28,2000,19990,-73,2329,2258,50,2761,50,2889,N/A
G29,2000,19990,34,2367,2328,50,2855,50,2953,N/A
G30,2000,19990,52,2401,2428,50,2860,50,2962,N/A
G31,2000,19990,-52,2290,2279,50,2785,50,2899,N/A
G32,2000,4000,16,1058,992,50,1105,50,1140,1560
G33,2000,4000,-11,1000,988,50,1074,50,1112,1537
G34,2000,4000,-28,988,990,50,1069,50,1102,1541
G35,2000,11778,5896,7252,7277,50,7394,50,7435,8000
G36,2000,11766,5876,7225,7289,50,7385,50,7429,7996
G37,2000,11785,5885,7264,7285,50,7398,50,7436,8009
G38,2000,11779,5892,7305,7274,50,7392,50,7431,N/A
G39,2000,11778,14,1861,1699,50,2016,50,2079,N/A
G40,2000,11766,-55,1834,1580,50,1986,50,2063,N/A
G41,2000,11785,-13,1876,1694,50,1985,50,2037,N/A
G42,2000,11779,50,1989,1736,50,2080,50,2150,N/A
G43,1000,9990,4993,6188,6139,50,6399,50,6442,7027
G44,1000,9990,4984,6157,6164,50,6395,50,6457,7022
G45,1000,9990,5011,6179,6201,50,6386,50,6470,7020
G46,1000,9990,4994,6150,6132,50,6390,50,6451,N/A
G47,1000,9990,4974,6220,6167,50,6392,50,6449,N/A
G48,3000,6000,2995,6000,5016,50,5356,50,5660,6000
G49,3000,6000,2991,6000,5096,50,5313,50,5728,6000
G50,3000,6000,2993,5880,5310,50,5313,50,5590,5988
G51,1000,5909,2949,3626,3656,50,3702,50,3733,N/A
G52,1000,5916,2958,3650,3635,50,3708,50,3734,N/A
G53,1000,5914,2961,3632,3665,50,3705,50,3727,N/A
G54,1000,5916,2960,3633,3646,50,3703,50,3726,N/A
